Total.Household.Income,Region,Total.Food.Expenditure,Household.Head.Sex,Household.Head.Age,Type.of.Household,Total.Number.of.Family.members,House.Floor.Area,House.Age,Number.of.bedrooms,Electricity
132200,X - Northern Mindanao,47374,Male,51,Single Family,2,11,16,1,1
195516,X - Northern Mindanao,97209,Male,43,Single Family,7,100,14,2,1
96768,X - Northern Mindanao,55795,Male,24,Two or More Nonrelated Persons/Members,5,40,4,1,1
177478,X - Northern Mindanao,84203,Male,41,Single Family,5,50,28,2,1
122000,X - Northern Mindanao,37231,Male,42,Single Family,5,60,9,1,1
266544,X - Northern Mindanao,74327,Female,86,Single Family,3,28,11,1,1
85342,X - Northern Mindanao,56782,Male,31,Single Family,5,15,9,1,1
1268620,X - Northern Mindanao,134399,Male,68,Extended Family,3,150,9,3,1
894979,X - Northern Mindanao,117843,Male,40,Extended Family,6,100,30,4,1
1282668,X - Northern Mindanao,96589,Male,74,Single Family,2,400,29,5,1
701161,X - Northern Mindanao,85510,Male,50,Single Family,5,150,25,3,1
144386,X - Northern Mindanao,67889,Male,24,Extended Family,6,50,26,3,1
121114,X - Northern Mindanao,53587,Male,46,Single Family,2,60,55,2,1
453571,X - Northern Mindanao,144841,Female,49,Two or More Nonrelated Persons/Members,12,60,17,1,1
76154,X - Northern Mindanao,39840,Female,86,Single Family,2,80,24,1,1
121792,X - Northern Mindanao,54991,Male,47,Single Family,5,50,43,1,1
213660,X - Northern Mindanao,56098,Male,63,Single Family,4,100,15,3,1
210777,X - Northern Mindanao,134233,Male,53,Extended Family,8,50,17,2,1
835225,X - Northern Mindanao,126867,Male,51,Single Family,4,120,20,2,1
109443,X - Northern Mindanao,40827,Male,32,Single Family,3,24,19,0,1
124614,X - Northern Mindanao,72715,Male,36,Single Family,5,45,3,1,1
107322,X - Northern Mindanao,51623,Female,48,Single Family,4,96,14,0,1
91938,X - Northern Mindanao,55098,Male,49,Single Family,6,32,2,1,1
246110,X - Northern Mindanao,160938,Male,45,Single Family,10,40,8,0,1
93928,X - Northern Mindanao,60732,Male,34,Single Family,5,48,12,1,0
104105,X - Northern Mindanao,58427,Male,46,Single Family,5,24,20,1,1
100451,X - Northern Mindanao,87931,Male,35,Single Family,5,75,16,1,1
50902,X - Northern Mindanao,30504,Male,62,Single Family,2,30,7,0,0
70050,X - Northern Mindanao,40563,Male,67,Single Family,2,48,30,2,1
206562,X - Northern Mindanao,97314,Male,44,Extended Family,6,36,18,1,1
171835,X - Northern Mindanao,96830,Male,37,Single Family,6,70,4,2,1
119289,X - Northern Mindanao,47148,Female,28,Two or More Nonrelated Persons/Members,5,80,18,2,1
127967,X - Northern Mindanao,52123,Male,51,Single Family,5,40,28,1,1
131675,X - Northern Mindanao,58133,Male,48,Extended Family,5,200,39,4,0
87160,X - Northern Mindanao,42103,Male,82,Single Family,2,60,26,2,1
868627,X - Northern Mindanao,87828,Male,56,Single Family,3,150,35,3,1
110341,X - Northern Mindanao,57716,Male,39,Single Family,8,80,25,3,1
369239,X - Northern Mindanao,69406,Male,58,Extended Family,6,80,30,3,1
1129650,X - Northern Mindanao,88124,Male,64,Single Family,6,100,20,3,1
447877,X - Northern Mindanao,103842,Male,52,Extended Family,7,150,18,2,1
342000,X - Northern Mindanao,99339,Female,36,Single Family,2,100,31,2,1
265122,X - Northern Mindanao,110475,Male,35,Single Family,9,100,25,4,1
316711,X - Northern Mindanao,89678,Male,53,Extended Family,5,80,28,3,1
539470,X - Northern Mindanao,163142,Male,57,Extended Family,9,100,28,3,1
475902,X - Northern Mindanao,166699,Male,52,Extended Family,11,100,12,3,1
39763,X - Northern Mindanao,30794,Male,49,Single Family,5,20,10,1,0
76896,X - Northern Mindanao,43681,Male,46,Single Family,9,36,6,1,1
35464,X - Northern Mindanao,27759,Male,48,Single Family,3,20,3,1,0
154851,X - Northern Mindanao,44062,Male,59,Extended Family,5,47,8,3,1
123031,X - Northern Mindanao,51602,Male,42,Single Family,7,32,2,1,1
21180,X - Northern Mindanao,15650,Male,46,Single Family,2,19,10,2,1
100267,X - Northern Mindanao,55941,Male,53,Single Family,9,16,1,1,0
30678,X - Northern Mindanao,20799,Male,31,Single Family,2,13,2,1,0
60177,X - Northern Mindanao,31860,Male,48,Single Family,3,33,9,2,1
115309,X - Northern Mindanao,56039,Male,46,Extended Family,9,18,21,3,1
71946,X - Northern Mindanao,50322,Male,43,Single Family,6,27,11,1,0
59944,X - Northern Mindanao,40955,Male,36,Single Family,6,36,3,1,1
63339,X - Northern Mindanao,45037,Male,33,Extended Family,6,19,1,1,1
66011,X - Northern Mindanao,12876,Female,69,Single Family,1,54,8,2,1
51637,X - Northern Mindanao,32776,Male,35,Single Family,5,14,6,1,1
43144,X - Northern Mindanao,31007,Female,57,Extended Family,6,59,15,2,1
43745,X - Northern Mindanao,31953,Male,48,Single Family,5,13,2,1,0
52469,X - Northern Mindanao,34808,Male,34,Single Family,4,14,2,1,0
24963,X - Northern Mindanao,21437,Male,70,Single Family,3,13,4,1,0
61984,X - Northern Mindanao,40916,Male,56,Single Family,6,45,7,2,1
291165,X - Northern Mindanao,80543,Male,39,Single Family,5,162,9,3,1
56990,X - Northern Mindanao,33794,Male,39,Single Family,5,80,11,1,1
47199,X - Northern Mindanao,27164,Male,62,Single Family,3,60,17,2,1
85273,X - Northern Mindanao,48896,Male,41,Single Family,5,50,6,2,0
107010,X - Northern Mindanao,40585,Male,58,Single Family,5,40,22,1,1
57380,X - Northern Mindanao,28126,Male,32,Single Family,4,35,1,0,1
410851,X - Northern Mindanao,99160,Female,67,Extended Family,5,240,7,3,1
39585,X - Northern Mindanao,19932,Male,58,Single Family,2,12,25,1,1
188255,X - Northern Mindanao,30675,Female,15,Single Family,2,80,29,2,1
96967,X - Northern Mindanao,50350,Male,48,Extended Family,5,80,25,2,1
146502,X - Northern Mindanao,57708,Female,78,Single Family,2,120,57,2,1
92520,X - Northern Mindanao,44020,Male,32,Single Family,3,50,15,2,0
75686,X - Northern Mindanao,44095,Male,43,Single Family,6,50,19,2,1
180808,X - Northern Mindanao,103769,Male,63,Extended Family,9,43,30,2,1
128753,X - Northern Mindanao,47755,Female,72,Extended Family,2,240,9,2,1
62145,X - Northern Mindanao,40974,Male,55,Single Family,4,18,37,2,0
220956,X - Northern Mindanao,51981,Female,74,Single Family,2,200,35,3,1
142426,X - Northern Mindanao,101887,Female,74,Extended Family,8,28,51,1,0
89700,X - Northern Mindanao,63685,Female,68,Single Family,2,43,35,1,1
187261,X - Northern Mindanao,49707,Female,48,Extended Family,4,43,41,3,1
73050,X - Northern Mindanao,31556,Male,58,Single Family,1,11,4,0,0
52200,X - Northern Mindanao,33404,Male,82,Single Family,1,48,44,2,1
53340,X - Northern Mindanao,23179,Female,56,Single Family,1,24,58,1,1
92853,X - Northern Mindanao,54143,Female,64,Single Family,4,140,5,2,1
105176,X - Northern Mindanao,53691,Female,63,Single Family,2,32,17,0,1
121120,X - Northern Mindanao,70595,Female,37,Single Family,5,43,45,2,1
91136,X - Northern Mindanao,63611,Male,51,Single Family,1,56,45,4,1
92724,X - Northern Mindanao,46936,Male,52,Single Family,2,32,7,1,1
67932,X - Northern Mindanao,43855,Male,48,Single Family,6,18,4,1,0
83558,X - Northern Mindanao,49447,Male,66,Single Family,3,43,19,2,1
76529,X - Northern Mindanao,39769,Male,72,Single Family,3,32,32,2,1
64170,X - Northern Mindanao,39391,Male,44,Single Family,6,24,15,1,1
71118,X - Northern Mindanao,26395,Male,51,Single Family,3,33,29,2,1
310112,X - Northern Mindanao,57448,Male,47,Single Family,4,54,10,2,1
46421,X - Northern Mindanao,41621,Female,73,Extended Family,4,20,7,2,1
520977,X - Northern Mindanao,74416,Male,65,Extended Family,4,57,33,4,1
128268,X - Northern Mindanao,73490,Male,41,Single Family,5,26,15,1,1
196237,X - Northern Mindanao,90248,Female,47,Single Family,5,43,31,2,1
158200,X - Northern Mindanao,72140,Male,51,Extended Family,7,40,2,3,1
104364,X - Northern Mindanao,69636,Male,39,Single Family,3,168,17,2,1
56478,X - Northern Mindanao,33226,Male,67,Single Family,2,23,3,2,1
145424,X - Northern Mindanao,88999,Male,43,Single Family,6,20,3,1,1
168866,X - Northern Mindanao,73249,Female,69,Extended Family,4,65,21,4,1
109951,X - Northern Mindanao,57167,Female,86,Extended Family,4,25,44,3,1
95811,X - Northern Mindanao,61093,Male,50,Single Family,5,32,11,2,1
136713,X - Northern Mindanao,89975,Male,47,Single Family,5,39,19,2,1
249380,X - Northern Mindanao,90282,Male,49,Single Family,6,41,12,2,1
2442281,X - Northern Mindanao,190090,Male,59,Single Family,4,70,7,2,1
139750,X - Northern Mindanao,78336,Female,40,Single Family,6,32,11,2,1
600757,X - Northern Mindanao,150346,Male,54,Extended Family,4,39,24,3,1
662936,X - Northern Mindanao,103324,Female,73,Extended Family,4,200,38,2,1
73785,X - Northern Mindanao,37712,Male,60,Extended Family,4,60,10,1,1
161850,X - Northern Mindanao,80283,Male,30,Single Family,5,140,6,2,1
96160,X - Northern Mindanao,40252,Male,63,Single Family,4,150,22,2,1
330578,X - Northern Mindanao,80355,Male,35,Single Family,3,80,10,2,1
139920,X - Northern Mindanao,58951,Male,51,Single Family,6,150,11,2,1
112470,X - Northern Mindanao,61148,Male,45,Single Family,7,100,9,1,1
70130,X - Northern Mindanao,32478,Male,65,Extended Family,3,80,25,2,1
126190,X - Northern Mindanao,98624,Male,33,Single Family,4,60,7,1,1
107855,X - Northern Mindanao,52398,Male,43,Single Family,5,60,8,1,1
58035,X - Northern Mindanao,31439,Male,39,Single Family,2,50,1,1,1
98925,X - Northern Mindanao,51528,Male,43,Single Family,4,50,11,1,1
245981,X - Northern Mindanao,47605,Male,78,Single Family,2,150,10,4,1
134518,X - Northern Mindanao,70489,Male,42,Extended Family,7,50,6,2,1
88046,X - Northern Mindanao,41042,Male,34,Single Family,4,50,7,0,1
101950,X - Northern Mindanao,44524,Female,63,Extended Family,6,70,6,1,1
123611,X - Northern Mindanao,73543,Male,44,Extended Family,10,80,35,2,1
104840,X - Northern Mindanao,52440,Male,63,Extended Family,5,70,30,2,1
92375,X - Northern Mindanao,49952,Male,33,Single Family,5,50,5,1,1
96280,X - Northern Mindanao,48680,Male,32,Extended Family,5,50,25,2,1
91761,X - Northern Mindanao,36958,Male,57,Single Family,2,80,25,2,1
112290,X - Northern Mindanao,63029,Male,36,Single Family,10,47,5,2,1
92036,X - Northern Mindanao,50252,Male,34,Single Family,7,68,7,2,1
75673,X - Northern Mindanao,47719,Male,81,Extended Family,6,32,10,2,1
90902,X - Northern Mindanao,65721,Male,28,Single Family,10,45,3,1,1
124284,X - Northern Mindanao,78600,Male,51,Single Family,8,36,6,1,0
105202,X - Northern Mindanao,76410,Male,47,Single Family,10,17,2,1,0
117400,X - Northern Mindanao,63845,Male,29,Single Family,7,43,4,2,1
81406,X - Northern Mindanao,54372,Male,39,Single Family,5,13,3,1,1
99314,X - Northern Mindanao,56339,Male,38,Single Family,6,29,3,1,1
385050,X - Northern Mindanao,88657,Male,60,Single Family,3,98,5,2,1
462240,X - Northern Mindanao,35563,Female,47,Single Family,2,108,20,2,1
61334,X - Northern Mindanao,26694,Male,31,Extended Family,6,130,30,2,1
116072,X - Northern Mindanao,56344,Male,40,Single Family,5,14,36,1,1
52990,X - Northern Mindanao,30124,Male,36,Single Family,6,15,10,1,1
77391,X - Northern Mindanao,24387,Male,28,Single Family,4,20,11,1,1
128141,X - Northern Mindanao,44504,Male,38,Single Family,4,19,6,1,1
51033,X - Northern Mindanao,30379,Female,86,Extended Family,2,22,7,1,1
133971,X - Northern Mindanao,32318,Male,46,Single Family,3,20,7,2,1
63531,X - Northern Mindanao,29901,Female,57,Extended Family,3,60,13,2,1
87775,X - Northern Mindanao,70121,Male,41,Single Family,8,40,25,1,1
75995,X - Northern Mindanao,42335,Female,74,Extended Family,4,55,18,2,1
81709,X - Northern Mindanao,23483,Female,76,Extended Family,2,60,42,1,1
48179,X - Northern Mindanao,34881,Male,36,Single Family,2,18,5,1,1
102415,X - Northern Mindanao,32860,Female,73,Single Family,2,86,14,4,1
120882,X - Northern Mindanao,37551,Male,42,Single Family,4,35,20,1,1
92968,X - Northern Mindanao,39161,Male,67,Extended Family,3,50,40,1,1
129216,X - Northern Mindanao,44773,Female,71,Extended Family,7,45,10,1,1
731533,X - Northern Mindanao,75375,Male,37,Single Family,3,120,8,2,1
170847,X - Northern Mindanao,64898,Male,36,Single Family,9,37,14,1,0
85364,X - Northern Mindanao,48293,Female,75,Single Family,6,30,3,1,0
217286,X - Northern Mindanao,57863,Male,43,Single Family,3,80,12,2,0
99710,X - Northern Mindanao,71223,Male,35,Single Family,8,35,10,1,0
61393,X - Northern Mindanao,35871,Male,30,Single Family,4,25,8,0,0
61324,X - Northern Mindanao,34883,Male,66,Extended Family,3,30,17,1,0
55590,X - Northern Mindanao,37859,Male,27,Single Family,4,32,8,1,0
53723,X - Northern Mindanao,30264,Male,88,Extended Family,2,36,15,0,0
258192,X - Northern Mindanao,69712,Male,41,Single Family,5,40,5,1,0
98145,X - Northern Mindanao,71039,Male,55,Single Family,9,40,16,1,0
88157,X - Northern Mindanao,59957,Male,46,Single Family,8,39,17,1,0
97604,X - Northern Mindanao,73443,Male,47,Extended Family,10,35,16,1,0
99552,X - Northern Mindanao,56179,Male,37,Single Family,5,30,12,0,0
122019,X - Northern Mindanao,57168,Male,35,Extended Family,4,32,7,1,0
103206,X - Northern Mindanao,52473,Male,41,Single Family,6,27,16,0,0
72783,X - Northern Mindanao,36544,Male,33,Single Family,5,35,4,1,0
24485,X - Northern Mindanao,22149,Male,69,Single Family,2,15,15,1,0
62593,X - Northern Mindanao,45778,Male,51,Single Family,8,24,5,1,0
60092,X - Northern Mindanao,37774,Male,45,Single Family,6,38,12,1,1
66610,X - Northern Mindanao,44232,Male,59,Single Family,6,45,1,1,0
167599,X - Northern Mindanao,43481,Male,55,Single Family,6,20,8,1,1
85589,X - Northern Mindanao,40948,Male,35,Single Family,5,40,1,1,1
53198,X - Northern Mindanao,25920,Male,32,Single Family,2,42,6,1,1
76646,X - Northern Mindanao,40432,Male,53,Single Family,7,50,6,1,1
82240,X - Northern Mindanao,50578,Male,45,Extended Family,8,30,5,1,1
59563,X - Northern Mindanao,31483,Male,49,Single Family,4,30,11,1,0
95570,X - Northern Mindanao,48203,Male,45,Single Family,5,90,5,3,1
89176,X - Northern Mindanao,64019,Male,48,Extended Family,8,50,9,2,1
87358,X - Northern Mindanao,65585,Male,49,Extended Family,7,35,8,1,1
127041,X - Northern Mindanao,28524,Male,47,Single Family,2,58,17,2,1
137708,X - Northern Mindanao,16701,Female,59,Single Family,1,100,65,1,1
55100,X - Northern Mindanao,33087,Female,47,Single Family,4,36,16,1,1
233835,X - Northern Mindanao,67955,Male,53,Single Family,7,80,18,2,1
584251,X - Northern Mindanao,112264,Male,59,Extended Family,7,126,14,4,1
467969,X - Northern Mindanao,92754,Male,60,Extended Family,8,54,30,3,1
985386,X - Northern Mindanao,148882,Male,44,Single Family,5,120,45,4,1
702246,X - Northern Mindanao,119267,Male,69,Extended Family,5,75,35,2,1
67523,X - Northern Mindanao,51717,Female,45,Extended Family,4,27,6,0,1
854803,X - Northern Mindanao,166770,Male,40,Extended Family,5,100,55,3,1
102107,X - Northern Mindanao,57406,Male,65,Single Family,4,50,9,1,1
58537,X - Northern Mindanao,40803,Male,63,Single Family,2,15,18,1,1
31608,X - Northern Mindanao,21752,Male,27,Single Family,3,30,4,0,0
103488,X - Northern Mindanao,54654,Male,43,Single Family,5,20,23,2,1
91374,X - Northern Mindanao,58584,Female,75,Extended Family,10,54,23,2,1
115532,X - Northern Mindanao,36473,Female,51,Single Family,5,80,26,2,1
66408,X - Northern Mindanao,35550,Male,53,Single Family,3,20,28,2,1
43684,X - Northern Mindanao,21334,Male,22,Single Family,2,10,1,0,0
117664,X - Northern Mindanao,46461,Male,49,Single Family,4,55,10,2,1
81681,X - Northern Mindanao,45688,Male,43,Single Family,4,29,8,1,1
31242,X - Northern Mindanao,13396,Male,26,Single Family,1,11,6,0,0
51973,X - Northern Mindanao,31601,Male,49,Single Family,3,11,7,2,1
63503,X - Northern Mindanao,35108,Male,41,Single Family,3,40,1,1,0
138846,X - Northern Mindanao,31309,Female,56,Single Family,3,54,16,3,1
102917,X - Northern Mindanao,35793,Male,48,Single Family,3,35,8,2,1
49298,X - Northern Mindanao,26463,Male,60,Single Family,2,17,5,1,1
24803,X - Northern Mindanao,12025,Female,89,Single Family,1,17,13,0,1
60643,X - Northern Mindanao,29282,Female,33,Single Family,3,32,35,1,1
128385,X - Northern Mindanao,52486,Male,43,Single Family,5,35,15,1,1
209533,X - Northern Mindanao,96747,Female,29,Single Family,7,56,6,1,1
163733,X - Northern Mindanao,74129,Male,49,Single Family,5,80,2,2,1
88826,X - Northern Mindanao,34219,Male,51,Extended Family,8,14,17,1,1
63946,X - Northern Mindanao,28147,Female,53,Extended Family,4,54,20,2,1
24638,X - Northern Mindanao,12436,Female,75,Single Family,1,36,3,0,0
59462,X - Northern Mindanao,19961,Male,64,Single Family,2,29,7,2,1
37213,X - Northern Mindanao,11504,Female,77,Single Family,1,22,43,2,1
81471,X - Northern Mindanao,42885,Male,46,Extended Family,7,22,13,1,1
104837,X - Northern Mindanao,29999,Female,46,Single Family,2,40,7,2,1
51983,X - Northern Mindanao,15256,Male,34,Single Family,4,28,17,2,1
570416,X - Northern Mindanao,116304,Male,61,Extended Family,6,54,32,3,1
151985,X - Northern Mindanao,35267,Male,54,Single Family,4,45,10,2,1
57476,X - Northern Mindanao,26099,Male,55,Extended Family,4,22,13,1,1
40528,X - Northern Mindanao,12974,Male,79,Single Family,2,19,56,1,1
61476,X - Northern Mindanao,27247,Male,70,Extended Family,5,20,20,2,1
101037,X - Northern Mindanao,23137,Male,40,Single Family,5,23,8,1,1
159935,X - Northern Mindanao,53692,Male,66,Extended Family,5,11,15,2,1
98828,X - Northern Mindanao,48724,Male,41,Single Family,4,32,16,2,1
345239,X - Northern Mindanao,57981,Male,53,Extended Family,7,100,22,1,1
299829,X - Northern Mindanao,79234,Female,46,Extended Family,3,54,17,1,1
182828,X - Northern Mindanao,65619,Male,46,Single Family,4,14,24,1,1
160569,X - Northern Mindanao,58527,Male,53,Single Family,4,11,7,0,1
804600,X - Northern Mindanao,83127,Female,46,Extended Family,10,13,35,2,1
97880,X - Northern Mindanao,52226,Male,33,Single Family,5,14,15,1,1
68200,X - Northern Mindanao,34487,Male,58,Extended Family,7,14,16,1,1
80932,X - Northern Mindanao,17745,Female,83,Single Family,1,13,22,1,0
136111,X - Northern Mindanao,57028,Male,50,Extended Family,7,40,6,2,1
129305,X - Northern Mindanao,52568,Male,57,Extended Family,3,29,23,3,1
57266,X - Northern Mindanao,16920,Male,49,Single Family,2,23,52,1,1
59199,X - Northern Mindanao,32099,Female,71,Extended Family,7,23,15,2,1
547333,X - Northern Mindanao,83071,Male,46,Extended Family,7,45,15,2,1
713915,X - Northern Mindanao,130459,Male,55,Extended Family,5,74,19,3,1
81413,X - Northern Mindanao,29124,Male,35,Single Family,4,25,0,1,1
36715,X - Northern Mindanao,21945,Male,44,Single Family,5,13,20,2,0
72559,X - Northern Mindanao,38184,Male,49,Single Family,4,18,31,2,1
68602,X - Northern Mindanao,42905,Male,35,Single Family,7,18,4,1,0
62945,X - Northern Mindanao,37079,Female,41,Single Family,5,23,16,1,1
29413,X - Northern Mindanao,16923,Male,35,Single Family,3,18,2,1,1
58892,X - Northern Mindanao,23432,Male,79,Single Family,2,15,21,1,1
131520,X - Northern Mindanao,38552,Male,59,Extended Family,3,20,25,2,1
89292,X - Northern Mindanao,51835,Male,59,Extended Family,5,112,2,2,1
301667,X - Northern Mindanao,85142,Female,78,Extended Family,2,70,30,3,1
86260,X - Northern Mindanao,63799,Male,41,Single Family,5,10,5,0,1
335552,X - Northern Mindanao,42457,Female,62,Single Family,1,120,11,2,1
117452,X - Northern Mindanao,58953,Male,43,Single Family,4,11,18,1,1
80111,X - Northern Mindanao,49405,Male,67,Single Family,5,15,41,2,1
106665,X - Northern Mindanao,62237,Male,41,Single Family,8,12,12,1,1
174240,X - Northern Mindanao,66883,Male,57,Single Family,2,19,21,2,1
273107,X - Northern Mindanao,59358,Male,74,Single Family,2,265,65,4,1
117918,X - Northern Mindanao,60217,Male,52,Single Family,4,80,43,2,1
264644,X - Northern Mindanao,85071,Female,43,Extended Family,5,80,43,2,1
121697,X - Northern Mindanao,76517,Male,58,Extended Family,4,27,22,3,1
320110,X - Northern Mindanao,53419,Male,60,Single Family,2,192,30,2,1
494243,X - Northern Mindanao,125554,Male,72,Single Family,2,27,68,3,1
199264,X - Northern Mindanao,54127,Male,42,Single Family,5,55,23,2,1
518410,X - Northern Mindanao,101335,Male,70,Single Family,2,150,43,2,1
543636,X - Northern Mindanao,183635,Male,73,Extended Family,5,45,32,3,1
445776,X - Northern Mindanao,94073,Male,53,Single Family,4,80,26,3,1
941839,X - Northern Mindanao,190030,Male,69,Extended Family,5,41,29,2,1
378852,X - Northern Mindanao,69911,Male,81,Single Family,2,29,19,6,1
438979,X - Northern Mindanao,98080,Female,39,Single Family,3,54,8,2,1
75626,X - Northern Mindanao,31805,Female,72,Single Family,1,49,41,2,1
94792,X - Northern Mindanao,53574,Male,49,Single Family,4,20,17,2,1
218255,X - Northern Mindanao,78905,Male,66,Single Family,2,14,5,2,1
123215,X - Northern Mindanao,48750,Male,28,Single Family,2,107,15,2,1
86962,X - Northern Mindanao,53263,Male,41,Single Family,6,15,3,1,1
69599,X - Northern Mindanao,40460,Male,33,Single Family,3,27,8,1,1
108423,X - Northern Mindanao,67068,Male,51,Single Family,5,14,9,2,1
39441,X - Northern Mindanao,19441,Male,45,Extended Family,2,13,31,1,0
261657,X - Northern Mindanao,86170,Male,52,Single Family,4,36,19,2,1
159672,X - Northern Mindanao,71116,Male,67,Extended Family,4,33,22,2,1
145019,X - Northern Mindanao,74270,Male,64,Extended Family,4,12,12,2,1
46790,X - Northern Mindanao,31075,Male,33,Single Family,3,18,8,1,0
80172,X - Northern Mindanao,27879,Male,65,Single Family,2,36,35,2,1
136483,X - Northern Mindanao,51638,Male,38,Single Family,4,42,7,1,1
129898,X - Northern Mindanao,62301,Male,54,Single Family,5,15,7,2,1
29867,X - Northern Mindanao,3704,Male,29,Single Family,1,14,7,1,0
127598,X - Northern Mindanao,63885,Female,67,Extended Family,2,56,6,2,1
166519,X - Northern Mindanao,37091,Male,40,Single Family,3,32,15,2,1
91495,X - Northern Mindanao,54974,Male,59,Extended Family,5,22,14,2,1
104231,X - Northern Mindanao,32387,Male,26,Single Family,3,20,16,2,1
190260,X - Northern Mindanao,80492,Male,36,Single Family,3,36,13,1,1
157948,X - Northern Mindanao,63395,Male,56,Extended Family,4,18,24,3,1
287764,X - Northern Mindanao,56712,Male,49,Single Family,4,18,24,3,1
119428,X - Northern Mindanao,36258,Female,53,Single Family,2,23,15,2,1
118220,X - Northern Mindanao,52787,Male,41,Single Family,5,29,14,1,1
87316,X - Northern Mindanao,54981,Male,49,Single Family,4,43,29,2,1
69038,X - Northern Mindanao,32367,Male,33,Single Family,4,17,8,1,1
588832,X - Northern Mindanao,75723,Female,74,Single Family,2,108,15,5,1
90706,X - Northern Mindanao,34012,Male,74,Single Family,3,15,23,1,0
575700,X - Northern Mindanao,103050,Male,52,Single Family,4,58,15,3,1
28260,X - Northern Mindanao,20252,Female,55,Single Family,1,11,18,1,0
63108,X - Northern Mindanao,24780,Female,58,Single Family,2,11,15,1,1
54624,X - Northern Mindanao,32070,Male,58,Single Family,3,32,18,2,1
60325,X - Northern Mindanao,44849,Male,32,Extended Family,5,12,10,1,0
28630,X - Northern Mindanao,21194,Male,52,Single Family,1,12,17,1,0
127928,X - Northern Mindanao,107251,Female,63,Extended Family,8,11,35,1,0
323381,X - Northern Mindanao,86564,Male,58,Single Family,3,90,25,2,1
75351,X - Northern Mindanao,34227,Male,31,Extended Family,5,19,7,1,1
168011,X - Northern Mindanao,58172,Male,78,Single Family,2,54,23,2,1
47974,X - Northern Mindanao,29673,Male,48,Single Family,5,17,20,2,0
174527,X - Northern Mindanao,72631,Female,64,Extended Family,5,22,63,2,1
174899,X - Northern Mindanao,108707,Female,53,Extended Family,9,16,11,2,1
92179,X - Northern Mindanao,46202,Male,62,Extended Family,5,12,15,1,1
362000,X - Northern Mindanao,131181,Male,54,Single Family,3,80,18,3,1
103686,X - Northern Mindanao,63662,Male,65,Extended Family,6,11,4,1,0
116614,X - Northern Mindanao,66628,Male,67,Extended Family,5,13,14,1,1
119089,X - Northern Mindanao,67640,Male,50,Single Family,6,16,35,1,1
145904,X - Northern Mindanao,88076,Male,35,Extended Family,7,15,11,2,1
178200,X - Northern Mindanao,63023,Female,42,Single Family,3,25,17,2,1
194596,X - Northern Mindanao,128838,Male,62,Extended Family,9,17,7,3,1
270052,X - Northern Mindanao,113679,Male,45,Extended Family,10,65,61,3,1
134379,X - Northern Mindanao,78618,Male,52,Extended Family,7,14,16,2,1
128811,X - Northern Mindanao,62171,Male,49,Extended Family,7,19,11,2,1
70509,X - Northern Mindanao,48569,Male,46,Single Family,6,14,2,1,0
66569,X - Northern Mindanao,33880,Male,61,Single Family,3,13,32,1,1
374600,X - Northern Mindanao,73422,Male,59,Single Family,1,25,33,2,1
65870,X - Northern Mindanao,25058,Male,44,Extended Family,2,14,14,2,1
237096,X - Northern Mindanao,98822,Male,48,Single Family,6,26,36,3,1
387630,X - Northern Mindanao,147445,Male,39,Single Family,4,43,33,2,1
118030,X - Northern Mindanao,62635,Male,34,Extended Family,5,14,27,2,1
289250,X - Northern Mindanao,126697,Male,48,Single Family,6,19,11,2,1
130381,X - Northern Mindanao,46453,Male,63,Extended Family,4,16,35,1,1
167061,X - Northern Mindanao,89465,Female,56,Single Family,3,19,1,1,1
101615,X - Northern Mindanao,51845,Male,60,Single Family,7,15,30,2,1
229950,X - Northern Mindanao,90347,Male,38,Single Family,9,15,10,1,1
127795,X - Northern Mindanao,48368,Male,30,Single Family,5,10,1,1,1
382620,X - Northern Mindanao,81121,Male,63,Extended Family,4,54,15,2,1
127886,X - Northern Mindanao,78219,Male,61,Single Family,7,15,35,3,0
233851,X - Northern Mindanao,100462,Male,61,Single Family,8,30,11,1,0
223490,X - Northern Mindanao,63190,Female,70,Extended Family,4,81,45,5,1
126626,X - Northern Mindanao,66729,Female,51,Extended Family,8,75,25,2,0
73961,X - Northern Mindanao,48755,Female,37,Single Family,4,16,15,1,0
122417,X - Northern Mindanao,43539,Female,32,Single Family,1,14,15,1,1
181482,X - Northern Mindanao,50065,Female,51,Single Family,3,27,20,2,1
200385,X - Northern Mindanao,103935,Male,41,Extended Family,9,14,13,1,1
508064,X - Northern Mindanao,100274,Female,34,Single Family,3,120,45,4,1
822680,X - Northern Mindanao,167861,Male,67,Extended Family,6,350,25,4,1
374759,X - Northern Mindanao,203002,Male,67,Single Family,4,22,20,3,1
863360,X - Northern Mindanao,130787,Male,84,Single Family,3,27,25,6,1
100839,X - Northern Mindanao,41753,Male,73,Extended Family,3,12,13,2,1
436798,X - Northern Mindanao,83486,Male,50,Single Family,3,24,16,3,1
108711,X - Northern Mindanao,53192,Male,51,Single Family,4,35,1,2,1
98922,X - Northern Mindanao,65727,Female,59,Extended Family,4,16,65,3,1
85500,X - Northern Mindanao,41194,Male,30,Single Family,3,16,13,1,1
133072,X - Northern Mindanao,70687,Female,60,Extended Family,10,19,30,1,1
62147,X - Northern Mindanao,25205,Male,52,Single Family,1,13,14,1,0
220920,X - Northern Mindanao,39793,Male,53,Single Family,2,35,30,3,1
119860,X - Northern Mindanao,69770,Male,38,Single Family,6,35,9,1,1
